OperatorTerminal,Description,IPAddress,WorkplaceID,BehaviorDescription,OrderStatus,BoPExecution,QG,Kitting,WorkplaceNId,LayoutEnum,Layout,Workplace,OrderType,OrderStatusFilter,ShowToBeActivated,SortingParam,FilterByLine,GridListView,EnableESOnWorkplaceEnter,AutoassignSerialNumber,ClientDef_NId,ShowReworkCompleted,DisplayRejectionReasons,AllowCellManagement,IsMultyOrderSelection,CanChangeWorkplace,DisplayDCOButton,DisplayUndoOperationOT,AutoExitWorkplace,AutoassignWhiteListCheck,ProductionLine,SearchDryingTask,FastDefectOpening,AutoassignChangeWorkplace,SetOrderLocChangeWorkplace,DisplayFixDefectButtons,UseNewDefectUI,UseNewSilhouetteUI,UseMaterialCallFromLineSideUI,CheckLoadingSequence,CheckProcessingSequence,DisplayOrderMeasurement,Id,NodeID
Taufikr,TaufikRamdani,10.98.25.190,cb7a3daa-ffcf-f011-8492-000c29e9263e,Order Status + BoP Execution + QG,1,2,4,0,3201_GAT211RH,1,OneColumn,3201_EC1V_2025 RHD INDO,,,false,,false,false,false,false,Taufikr,false,false,false,false,true,false,true,false,false,,false,false,false,false,false,false,false,false,false,false,false,d4aa50cb-6eb5-f011-8490-000c29e9263e,c77a3daa-ffcf-f011-8492-000c29e9263e
3201_GASAC001,3201_GASAC001,10.98.96.65,f0df4f33-11ab-f011-848b-000c295d53d9,BoP Execution +  QG,0,2,4,0,3201_GASAC001,1,OneColumn,SAC,,,false,,false,false,false,false,3201_GASAC001,false,false,false,false,true,false,false,false,false,,false,false,false,true,false,false,false,false,false,false,false,1a679aa1-01b6-f011-848e-000c29eabf5a,ecdf4f33-11ab-f011-848b-000c295d53d9
3201_GADL01LH,3201_GADL01LH,10.98.96.196,48f169d5-8497-f011-bb25-0662523cfec5,BoP Execution,0,2,0,0,3201_GADL01RH,1,OneColumn,DL,,,false,,false,false,false,false,3201_GADL01LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,9f81ac4f-f8b9-f011-848c-000c2946f184,44f169d5-8497-f011-bb25-0662523cfec5
3201_GADL02RH,3201_GADL02RH,10.98.96.111,538128cd-2198-f011-bb25-0662523cfec5,BoP Execution,0,2,0,0,3201_GADL02RH,1,OneColumn,DL,,,false,,false,false,false,false,3201_GADL02RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,f4362131-f8b9-f011-8491-000c29e9263e,4f8128cd-2198-f011-bb25-0662523cfec5
3201_GADL02LH,3201_GADL02LH,10.98.96.149,0b3524d0-2198-f011-bb24-06f36d7313c7,BoP Execution,0,2,0,0,3201_GADL02LH,1,OneColumn,DL,,,false,,false,false,false,false,3201_GADL02LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,3db7c78c-f8b9-f011-848f-000c29eabf5a,073524d0-2198-f011-bb24-06f36d7313c7
3201_GADL01RH,3201_GADL01RH,10.98.96.101,a8dbb7d6-8497-f011-bb25-0662523cfec5,BoP Execution,0,2,0,0,3201_GADL01LH,1,OneColumn,DL,,,false,,false,false,false,false,3201_GADL01RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,febc5d0c-fdb9-f011-848e-000c295d53d9,a4dbb7d6-8497-f011-bb25-0662523cfec5
3201_G2RX01LH,3201_G2RX01LH,10.98.96.85,5efdab02-77aa-f011-8491-000c2997d9e5,BoP Execution,0,2,0,0,3201_G2RX01LH,1,OneColumn,RX,,,false,,false,false,false,false,3201_G2RX01LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,811c7831-ffb9-f011-8491-000c29e9263e,5afdab02-77aa-f011-8491-000c2997d9e5
3201_GACA02LH,3201_GACA02LH,10.98.96.83,459b9a07-bda8-f011-848c-000c29e9263e,Order Status + BoP Execution + QG,1,2,4,0,3201_GACA02LH,1,OneColumn,CA,,,false,,false,false,false,false,3201_GACA02LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,e2e63002-11ba-f011-8494-000c2997d9e5,419b9a07-bda8-f011-848c-000c29e9263e
3201_G2FC01LH,3201_G2FC01LH,10.98.96.86,417799de-76aa-f011-848b-000c295d53d9,BoP Execution,0,2,0,0,3201_G2FC01LH,1,OneColumn,FC,,,false,,false,false,false,false,3201_G2FC01LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,1319875b-13ba-f011-848f-000c29eabf5a,3d7799de-76aa-f011-848b-000c295d53d9
3201_GACA03RH,3201_GACA03RH,10.98.96.52,1dfd7411-bda8-f011-8491-000c2997d9e5,Order Status + BoP Execution + QG,1,2,4,0,3201_GACA03RH,1,OneColumn,CA,,,false,,false,false,false,false,3201_GACA03RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,7fc17b23-16ba-f011-848f-000c29eabf5a,19fd7411-bda8-f011-8491-000c2997d9e5
